"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"CAS-BOT-BC38183",1901,6,190106,169,0,39,52,401,169,30,0,0,-9999,50,18.4,27.1,9.7
"CAS-BOT-BC38183",1901,7,190107,198,0,3,165,566,198,31,0,0,-9999,51,23.3,32.2,14.3
"CAS-BOT-BC38183",1901,8,190108,178,0,3,169,570,178,31,0,0,-9999,52,23.4,32,14.8
"CAS-BOT-BC38183",1901,9,190109,115,0,42,58,406,123,30,0,8,-9999,54,18.5,26.4,10.7
"CAS-BOT-BC38183",1901,10,190110,55,0,83,20,349,88,31,0,34,-9999,58,16.3,23.2,9.3
"CAS-BOT-BC38183",1901,11,190111,54,1,169,3,232,59,27,0,5,-9999,57,12.7,19.6,5.8
"CAS-BOT-BC38183",1901,12,190112,36,7,290,0,121,44,21,0,8,-9999,60,8.6,14.9,2.3
"CAS-BOT-BC38187",1901,1,190101,0,7,295,0,120,43,24,1,56,-9999,66,8.6,13.8,3.4
"CAS-BOT-BC38187",1901,2,190102,0,9,289,0,83,48,20,1,86,-9999,66,7.5,12.6,2.4
"CAS-BOT-BC38187",1901,3,190103,77,5,279,0,131,88,19,0,10,-9999,52,9.1,16.8,1.3
"CAS-BOT-BC38187",1901,4,190104,71,2,233,1,162,106,23,0,35,-9999,54,10.3,17.7,2.8
"CAS-BOT-BC38187",1901,5,190105,104,0,149,7,271,132,29,0,27,-9999,57,13.6,20.7,6.6
"CAS-BOT-BC38187",1901,6,190106,171,0,39,52,400,171,30,0,0,-9999,50,18.4,27.2,9.5
"CAS-BOT-BC38187",1901,7,190107,199,0,3,164,565,199,31,0,0,-9999,50,23.2,32.4,14.1
"CAS-BOT-BC38187",1901,8,190108,180,0,3,168,569,180,31,0,0,-9999,51,23.4,32.2,14.6
"CAS-BOT-BC38187",1901,9,190109,116,0,43,58,405,124,30,0,8,-9999,54,18.5,26.5,10.5
"CAS-BOT-BC38187",1901,10,190110,55,0,83,20,349,89,31,0,34,-9999,58,16.2,23.3,9.2
"CAS-BOT-BC38187",1901,11,190111,54,1,172,3,229,59,27,0,5,-9999,57,12.6,19.5,5.6
"CAS-BOT-BC38187",1901,12,190112,36,7,294,0,117,44,21,0,8,-9999,59,8.4,14.8,2.1
"CAS-BOT-BC38199",1901,1,190101,0,8,298,0,117,48,19,1,88,-9999,55,8.5,15.7,1.4
"CAS-BOT-BC38199",1901,2,190102,0,4,209,0,155,59,23,0,115,-9999,57,10.4,17.2,3.6
"CAS-BOT-BC38199",1901,3,190103,79,3,236,1,173,94,21,0,15,-9999,48,10.5,19,1.9
"CAS-BOT-BC38199",1901,4,190104,87,1,215,2,182,121,19,0,33,-9999,44,11,20.6,1.4
"CAS-BOT-BC38199",1901,5,190105,147,0,108,13,316,157,29,0,10,-9999,46,15.1,24.5,5.8
"CAS-BOT-BC38199",1901,6,190106,206,0,37,55,406,206,28,0,0,-9999,33,18.5,31.5,5.6
"CAS-BOT-BC38199",1901,7,190107,239,0,4,157,557,239,31,0,0,-9999,33,23,36.5,9.5
"CAS-BOT-BC38199",1901,8,190108,209,0,5,140,541,209,31,0,0,-9999,35,22.5,35.2,9.7
"CAS-BOT-BC38199",1901,9,190109,150,0,45,55,400,152,27,0,2,-9999,33,18.3,31.1,5.6
"CAS-BOT-BC38199",1901,10,190110,107,0,55,38,396,115,29,0,7,-9999,38,17.8,29.3,6.2
"CAS-BOT-BC38199",1901,11,190111,37,1,166,3,235,64,24,0,27,-9999,46,12.8,21.9,3.7
"CAS-BOT-BC38199",1901,12,190112,48,8,303,0,110,50,11,0,2,-9999,41,8.2,17.9,-1.6
"CAS-BOT-BC38217",1901,1,190101,0,10,326,0,93,49,15,1,103,-9999,51,7.6,15.4,-0.2
"CAS-BOT-BC38217",1901,2,190102,0,6,240,0,127,59,19,1,113,-9999,55,9.3,16.5,2
"CAS-BOT-BC38217",1901,3,190103,84,5,270,0,140,95,16,0,11,-9999,45,9.4,18.5,0.2
"CAS-BOT-BC38217",1901,4,190104,95,1,217,2,180,125,17,0,30,-9999,41,10.9,21.1,0.7
"CAS-BOT-BC38217",1901,5,190105,132,0,104,14,322,158,29,0,26,-9999,47,15.3,24.6,6.1
"CAS-BOT-BC38217",1901,6,190106,202,0,32,62,417,202,29,0,0,-9999,36,18.9,31,6.8
"CAS-BOT-BC38217",1901,7,190107,237,0,2,185,586,237,31,0,0,-9999,36,23.9,36.5,11.4
